h,k,l,N,M,simple,bcc,fcc,Note,Unique Values (!=0),0 Count
1,0,0,1,6,TRUE,FALSE,FALSE,,0,2
1,1,0,2,12,TRUE,TRUE,FALSE,,1,1
1,1,1,3,8,TRUE,FALSE,TRUE,,3,0
2,0,0,4,6,TRUE,TRUE,TRUE,,0,2
2,1,0,5,24,TRUE,FALSE,FALSE,,0,1
2,1,1,6,24,TRUE,TRUE,FALSE,,1,0
2,2,0,8,12,TRUE,TRUE,TRUE,,1,1
2,2,1,9,30,TRUE,FALSE,FALSE,300,1,0
3,1,0,10,24,TRUE,TRUE,FALSE,,0,1
3,1,1,11,24,TRUE,FALSE,TRUE,,1,0
2,2,2,12,8,TRUE,TRUE,TRUE,,3,0
3,2,0,13,24,TRUE,FALSE,FALSE,,0,1
3,2,1,14,48,TRUE,TRUE,FALSE,,0,0
4,0,0,16,6,TRUE,TRUE,TRUE,,0,2
4,1,0,17,24,TRUE,FALSE,FALSE,,0,1
4,1,1,18,24,TRUE,TRUE,FALSE,,1,0
4,2,0,20,24,TRUE,TRUE,TRUE,,0,1
4,2,1,21,48,TRUE,FALSE,FALSE,,0,0
4,2,2,24,24,TRUE,TRUE,TRUE,,1,0
4,3,0,25,30,TRUE,FALSE,FALSE,500,0,1
4,3,1,26,72,TRUE,TRUE,FALSE,510,0,0
5,1,1,27,24,TRUE,FALSE,TRUE,,1,0
4,3,2,29,48,TRUE,FALSE,FALSE,,0,0
5,2,1,30,48,TRUE,TRUE,FALSE,,0,0
4,4,0,32,12,TRUE,TRUE,TRUE,,1,1
4,4,1,33,48,TRUE,FALSE,FALSE,522,1,0
4,3,3,34,48,TRUE,TRUE,FALSE,530,1,0
5,3,1,35,48,TRUE,FALSE,TRUE,,0,0
4,4,2,36,30,TRUE,TRUE,TRUE,600,1,0
6,1,0,37,24,TRUE,FALSE,FALSE,,0,1
5,3,2,38,72,TRUE,TRUE,FALSE,611,0,0
6,2,0,40,24,TRUE,TRUE,TRUE,,0,1
6,2,1,41,48,TRUE,FALSE,FALSE,,0,0
6,2,2,44,24,TRUE,TRUE,TRUE,,1,0
6,3,0,45,24,TRUE,FALSE,FALSE,,0,1
6,3,1,46,48,TRUE,TRUE,FALSE,,0,0
6,3,2,49,54,TRUE,FALSE,FALSE,700,0,0
7,1,0,50,24,TRUE,TRUE,FALSE,,0,1
7,1,1,51,24,TRUE,FALSE,TRUE,,1,0
6,4,0,52,24,TRUE,TRUE,TRUE,,0,1
6,4,1,53,72,TRUE,FALSE,FALSE,720,0,0
6,3,3,54,72,TRUE,TRUE,FALSE,721,1,0
6,4,2,56,48,TRUE,TRUE,TRUE,,0,0
7,2,2,57,24,TRUE,FALSE,FALSE,,1,0
7,3,0,58,24,TRUE,TRUE,FALSE,,0,1
7,3,1,59,48,TRUE,FALSE,TRUE,,0,0
6,4,3,61,72,TRUE,FALSE,FALSE,650,0,0
6,5,1,62,96,TRUE,TRUE,FALSE,732,0,0
8,0,0,64,6,TRUE,TRUE,TRUE,,0,2
6,5,2,65,96,TRUE,FALSE,FALSE,"740, 810",0,0
7,4,1,66,72,TRUE,TRUE,FALSE,811,0,0
7,3,3,67,24,TRUE,FALSE,TRUE,,1,0
6,4,4,68,48,TRUE,TRUE,TRUE,820,1,0
7,4,2,69,96,TRUE,FALSE,FALSE,821,0,0
6,5,3,70,48,TRUE,TRUE,FALSE,,0,0
6,6,0,72,36,TRUE,TRUE,TRUE,822,1,1
6,6,1,73,48,TRUE,FALSE,FALSE,830,1,0
7,4,3,74,120,TRUE,TRUE,FALSE,"750, 831",0,0
7,5,1,75,48,TRUE,FALSE,TRUE,,0,0
6,6,2,76,24,TRUE,TRUE,TRUE,,1,0
6,5,4,77,96,TRUE,FALSE,FALSE,832,0,0
7,5,2,78,48,TRUE,TRUE,FALSE,,0,0
8,4,0,80,24,TRUE,TRUE,TRUE,,0,1
6,6,3,81,102,TRUE,FALSE,FALSE,"744, 841, 900",1,0
8,3,3,82,48,TRUE,TRUE,FALSE,910,1,0
7,5,3,83,72,TRUE,FALSE,TRUE,911,0,0
8,4,2,84,48,TRUE,TRUE,TRUE,,0,0
7,6,0,85,48,TRUE,FALSE,FALSE,920,0,1
6,5,5,86,120,TRUE,TRUE,FALSE,"761, 921",1,0
6,6,4,88,24,TRUE,TRUE,TRUE,,1,0
7,6,2,89,144,TRUE,FALSE,FALSE,"843, 850, 922",0,0
7,5,4,90,120,TRUE,TRUE,FALSE,"851, 930",0,0
9,3,1,91,48,TRUE,FALSE,TRUE,,0,0
8,5,2,93,48,TRUE,FALSE,FALSE,,0,0
7,6,3,94,96,TRUE,TRUE,FALSE,932,0,0
8,4,4,96,24,TRUE,TRUE,TRUE,,1,0
6,6,5,97,48,TRUE,FALSE,FALSE,940,1,0
7,7,0,98,108,TRUE,TRUE,FALSE,"853, 941",1,1
7,5,5,99,72,TRUE,FALSE,TRUE,"771, 933",1,0
8,6,0,100,30,TRUE,TRUE,TRUE,1000,0,1
